Source,SourceFile,SourceCreated,SourceModified,SourceAccessed,Filename,RecordNumber,EventRecordId,TimeCreated,EventId,Level,Provider,Channel,ProcessId,ThreadId,Computer,ChunkNumber,UserId,MapDescription,UserName,RemoteHost,PayloadData1,PayloadData2,PayloadData3,PayloadData4,PayloadData5,PayloadData6,ExecutableInfo,HiddenRecord,Keywords,ExtraDataOffset,Payload,BagPath,Slot,NodeSlot,MRUPosition,AbsolutePath,ShellType,Value,ChildBags,CreatedOn,ModifiedOn,AccessedOn,LastWriteTime,MFTEntry,MFTSequenceNumber,ExtensionBlockCount,FirstInteracted,LastInteracted,HasExplored,Miscellaneous
EvtxCmd,C:\Users\4n6\Desktop\MP2\Input2\Application.evtx,,,,,454.0,454.0,2025-01-23 17:58:16.0000000,10.0,Error,Microsoft-Windows-WMI,Application,0.0,0.0,WIN-FQNIHI9MJ12,3.0,,,,,,,,,,,,False,0x80000000000000,0.0,"{""EventData"":{""Data"":""//./root/CIMV2, SELECT * FROM __InstanceModificationEvent WITHIN 60 WHERE TargetInstance ISA \""Win32_Processor\"" AND TargetInstance.LoadPercentage &gt; 99, 0x80041003"",""Binary"":""""}}",,,,,,,,,,,,,,,,,,,
EvtxCmd,C:\Users\4n6\Desktop\MP2\Input2\Application.evtx,,,,,455.0,455.0,2025-01-23 17:58:29.0000000,900.0,Info,Microsoft-Windows-Security-SPP,Application,0.0,0.0,WIN-FQNIHI9MJ12,3.0,,,,,,,,,,,,False,0x80000000000000,0.0,"{""EventData"":{""Data"":"""",""Binary"":""""}}",,,,,,,,,,,,,,,,,,,
EvtxCmd,C:\Users\4n6\Desktop\MP2\Input2\Application.evtx,,,,,456.0,456.0,2025-01-23 17:58:29.0000000,1.0,Info,SecurityCenter,Application,0.0,0.0,WIN-FQNIHI9MJ12,3.0,,,,,,,,,,,,False,0x80000000000000,0.0,"{""EventData"":{""Data"":"""",""Binary"":""""}}",,,,,,,,,,,,,,,,,,,
EvtxCmd,C:\Users\4n6\Desktop\MP2\Input2\Application.evtx,,,,,457.0,457.0,2025-01-23 17:58:30.0000000,1066.0,Info,Microsoft-Windows-Security-SPP,Application,0.0,0.0,WIN-FQNIHI9MJ12,3.0,,,,,,,,,,,,False,0x80000000000000,0.0,"{""EventData"":{""Data"":""C:\\Windows\\system32\\sppwinob.dll, msft:spp/windowsfunctionality/agent/7.0, 0x00000000, 0x00000000\nC:\\Windows\\system32\\sppobjs.dll, msft:rm/algorithm/phone/1.0, 0x00000000, 0x00000000\nC:\\Windows\\system32\\sppobjs.dll, msft:rm/algorithm/pkey/2005, 0x00000000, 0x00000000\nC:\\Windows\\system32\\sppobjs.dll, msft:spp/TaskScheduler/1.0, 0x00000000, 0x00000000\nC:\\Windows\\system32\\sppobjs.dll, msft:spp/volume/services/kms/1.0, 0x00000000, 0x00000000\nC:\\Windows\\system32\\sppobjs.dll, msft:spp/volume/services/kms/licenserenewal/1.0, 0x00000000, 0x00000000\n"",""Binary"":""""}}",,,,,,,,,,,,,,,,,,,
EvtxCmd,C:\Users\4n6\Desktop\MP2\Input2\Application.evtx,,,,,458.0,458.0,2025-01-23 17:58:30.0000000,1003.0,Info,Microsoft-Windows-Security-SPP,Application,0.0,0.0,WIN-FQNIHI9MJ12,3.0,,,,,,,,,,,,False,0x80000000000000,0.0,"{""EventData"":{""Data"":""55c92734-d682-4d71-983e-d6ec3f16059f, \n1: 4de78642-0f7f-4b61-9392-8add86d70ae8, 1, 0 [(0 [0xC004F014, 0, 0], [(?)(?)(?)(?)(?)(?)])(1 )(2 )]\n2: 50e329f7-a5fa-46b2-85fd-f224e5da7764, 1, 0 [(0 [0xC004F014, 0, 0], [(?)(?)(?)(?)(?)(?)])(1 )(2 )]\n3: 5a79ecd8-d33f-406c-a619-7785899b5d59, 1, 0 [(0 [0xC004F014, 0, 0], [(?)(?)(?)(?)(?)(?)])(1 )(2 )]\n4: 770bc271-8dc1-467d-b574-73cbacbeccd1, 1, 0 [(0 [0xC004F014, 0, 0], [(?)(?)(?)(?)(?)(?)])(1 )(2 )]\n5: 90a61a0d-0b76-4bf1-a8b8-89061855a4c9, 1, 0 [(0 [0xC004F014, 0, 0], [(?)(?)(?)(?)(?)(?)])(1 )(2 )]\n6: 92f9d22a-65f5-49a7-90fe-06491b4fc379, 1, 0 [(0 [0xC004F014, 0, 0], [(?)(?)(?)(?)(?)(?)])(1 )(2 )]\n7: 9abf5984-9c16-46f2-ad1e-7fe15931a8dd, 1, 0 [(0 [0xC004F014, 0, 0], [(?)(?)(?)(?)(?)(?)])(1 )(2 )]\n8: 9ccffaf9-86a2-414e-b031-b2f777720e90, 1, 0 [(0 [0xC004F014, 0, 0], [(?)(?)(?)(?)(?)(?)])(1 )(2 )]\n9: b92e9980-b9d5-4821-9c94-140f632f6312, 1, 0 [(0 [0xC004F014, 0, 0], [(?)(?)(?)(?)(?)(?)])(1 )(2 )]\n10: c1027486-8ae8-4633-9cf9-9658ed80504d, 1, 0 [(0 [0xC004F014, 0, 0], [(?)(?)(?)(?)(?)(?)])(1 )(2 )]\n11: c1e88de3-96c4-4563-ad7d-775f65b1e670, 1, 0 [(0 [0xC004F014, 0, 0], [(?)(?)(?)(?)(?)(?)])(1 )(2 )]\n12: c33001fc-5e9c-4f27-8c05-e0154adb0db4, 1, 0 [(0 [0xC004F014, 0, 0], [(?)(?)(?)(?)(?)(?)])(1 )(2 )]\n13: cf3c5b35-35ff-4c95-9bbd-a188e47ad14c, 1, 0 [(0 [0xC004F014, 0, 0], [(?)(?)(?)(?)(?)(?)])(1 )(2 )]\n14: cff07cac-7534-4cc3-b3f3-99e1a0aa3c20, 1, 0 [(0 [0xC004F014, 0, 0], [(?)(?)(?)(?)(?)(?)])(1 )(2 )]\n15: d188820a-cb63-4bad-a9a2-40b843ee23b7, 1, 0 [(0 [0xC004F014, 0, 0], [(?)(?)(?)(?)(?)(?)])(1 )(2 )]\n16: d8e04254-f9a5-4729-ae86-886de6aa907c, 1, 0 [(0 [0xC004F014, 0, 0], [(?)(?)(?)(?)(?)(?)])(1 )(2 )]\n17: da22eadd-46dc-4056-a287-f5041c852470, 1, 0 [(0 [0xC004F014, 0, 0], [(?)(?)(?)(?)(?)(?)])(1 )(2 )]\n18: e120e868-3df2-464a-95a0-b52fa5ada4bf, 1, 0 [(0 [0xC004F014, 0, 0], [(?)(?)(?)(?)(?)(?)])(1 )(2 )]\n19: e838d943-63ed-4a0b-9fb1-47152908acc9, 1, 1 [(0 )(1 )(2 [0x00000000, 0, 1], [(?)( 5 0x00000000 30 34680)( 1 0x00000000 0 0 msft:rm/algorithm/flags/1.0 0x00000000 0)(?)(?)(?)])]\n20: 4a8149bb-7d61-49f4-8822-82c7bf88d64b, 1, 0 [(0 [0xC004F014, 0, 0], [(?)(?)(?)(?)(?)(?)])(1 )(2 )]\n21: afd5f68f-b70f-4000-a21d-28dbc8be8b07, 1, 0 [(0 [0xC004F014, 0, 0], [(?)(?)(?)(?)(?)(?)])(1 )(2 )]\n\n"",""Binary"":""""}}",,,,,,,,,,,,,,,,,,,
EvtxCmd,C:\Users\4n6\Desktop\MP2\Input2\Application.evtx,,,,,459.0,459.0,2025-01-23 17:58:30.0000000,902.0,LogAlways,Microsoft-Windows-Security-SPP,Application,0.0,0.0,WIN-FQNIHI9MJ12,3.0,,,,,,,,,,,,False,0x80000000000000,0.0,"{""EventData"":{""Data"":""6.1.7601.17514"",""Binary"":""""}}",,,,,,,,,,,,,,,,,,,
EvtxCmd,C:\Users\4n6\Desktop\MP2\Input2\Application.evtx,,,,,460.0,460.0,2025-01-23 18:00:35.0588454,1001.0,Info,Microsoft-Windows-LoadPerf,Application,2780.0,2772.0,WIN-FQNIHI9MJ12,3.0,S-1-5-18,,,,,,,,,,,False,Classic,0.0,"{""UserData"":{""EventXML"":{""param1"":""WmiApRpl"",""param2"":""WmiApRpl"",""binaryDataSize"":""12"",""binaryData"":""34-19-00-00-35-19-00-00-34-07-00-00""}}}",,,,,,,,,,,,,,,,,,,
EvtxCmd,C:\Users\4n6\Desktop\MP2\Input2\Application.evtx,,,,,461.0,461.0,2025-01-23 18:00:35.0744454,1000.0,Info,Microsoft-Windows-LoadPerf,Application,2780.0,2772.0,WIN-FQNIHI9MJ12,3.0,S-1-5-18,,,,,,,,,,,False,Classic,0.0,"{""UserData"":{""EventXML"":{""param1"":""WmiApRpl"",""param2"":""WmiApRpl"",""binaryDataSize"":""16"",""binaryData"":""36-19-00-00-DC-19-00-00-37-19-00-00-DD-19-00-00""}}}",,,,,,,,,,,,,,,,,,,
EvtxCmd,C:\Users\4n6\Desktop\MP2\Input2\Application.evtx,,,,,462.0,462.0,2025-01-23 18:20:43.0000000,258.0,LogAlways,Microsoft-Windows-Defrag,Application,0.0,0.0,WIN-FQNIHI9MJ12,3.0,,,,,,,,,,,,False,0x80000000000000,0.0,"{""EventData"":{""Data"":""defragmentation, (A:)"",""Binary"":""00-00-00-00-FB-00-00-00-C2-00-00-00-00-00-00-00-22-B6-51-A2-29-6B-ED-D8-5E-9C-8D-03-00-00-00-00-00-00-00-00""}}",,,,,,,,,,,,,,,,,,,
EvtxCmd,C:\Users\4n6\Desktop\MP2\Input2\Application.evtx,,,,,463.0,463.0,2025-01-23 18:22:25.0000000,4625.0,Info,Microsoft-Windows-EventSystem,Application,0.0,0.0,WIN-FQNIHI9MJ12,3.0,,,,,,,,,,,,False,0x80000000000000,0.0,"{""EventData"":{""Data"":[{""@Name"":""param1"",""#text"":""86400""},{""@Name"":""param2"",""#text"":""SuppressDuplicateDuration""},{""@Name"":""param3"",""#text"":""Software\\Microsoft\\EventSystem\\EventLog""}]}}",,,,,,,,,,,,,,,,,,,
